Neff Omegabh2 1/Omegabh2 Yp(CMB) Yp DoH He3 Li7 param log_likelihood
3.01481339041639 5.644039489593483 0.1771780657884847 2.453000508656011e-01 0.2466250051654951 2.528517523582415 1.091382515383974 5.354894326361841 5.317070225979263e-05 -0.2080944034679387
2.708751756518942 5.071060696269171 0.1971974030473959 2.408028905491336e-01 0.2421113466607684 2.580336150069488 1.106692099255321 6.081677152848927 0.0006526021351792 -1.639352433913634
2.877802406096434 5.387540865453067 0.1856134412663809 2.431250889523512e-01 0.2444421005132818 2.520112408271196 1.228023134591854 6.170434103328015 0.0003097684351324 -0.6251052582210825
2.586351250304628 4.84191438137114 0.2065298807941372 2.391091431243219e-01 0.2404113102641783 2.417362120926195 1.069775344244366 5.537937078377568 0.0009218823369167 -11.91956420825007
2.776609740632064 5.198097808697021 0.1923780653620799 2.415970536204974e-01 0.2429084443070231 2.531015340359954 1.032042212555071 5.544690599342296 0.0005112065046834 -0.7952438334140228
2.924459225820502 5.474887220644196 0.1826521642727713 2.436698366131773ea-01 0.2449888439160436 2.609208231209694 1.047659412686949 5.016729202217578 0.0002204101822154 -2.399047872950535
2.698108426077821 5.051135288995648 0.1979752952130563 2.405910499326958e-01 0.2418987217243573 2.432895776481807 1.059387562489347 4.84983802617892 0.0006752695163089 -8.820585906165183
2.736752952516219 5.123481809808847 0.195179769758431 2.410485130143084e-01 0.2423578777128547 2.536781153772655 1.011092258161855 5.676131950399688 0.0005936101829521 -0.9295420205943324
2.572228662371405 4.815475446580646 0.2076638145274058 2.389829297665404e-01 0.2402846266195146 2.362647513766825 0.9254117228413568 4.444649481391279 0.0009542207980801 -22.2170082230583
2.888924048023547 5.408361720646411 0.1848988754177632 2.431465552755281e-01 0.2444636455613433 2.57340093598389 1.044811780094395 4.929779218109801 0.0002882744609745 -0.6052408651064078
2.607752716763811 4.881980124126469 0.204834918327106 2.395664062636100e-01 0.2408702753068801 2.241441605091291 0.9867773776496732 6.061696259518095 0.0008733951564896 -57.14909688089345
2.841681891021377 5.319919553773437 0.1879727672368084 2.426809419008828e-01 0.2439963231260637 2.437610381686623 0.9377749216515536 5.01446586598047 0.0003804374344739 -7.412981964297283
2.864615507010875 5.36285363686364 0.1864678896187125 2.429536606264503e-01 0.2442700432592646 2.447656416214874 1.021979887040623 6.551477539827436 0.0003354146570948 -6.100146671749606
2.718316506215953 5.08896688964312 0.1965035382790883 2.409162810421306e-01 0.2422251567064882 2.326012953970672 1.009879373074219 4.97470748218924 0.0006323472404159 -29.96053813040078
2.782549909443553 5.209218414485546 0.1919673779120583 2.417372466678213e-01 0.2430491544518038 2.343030534035916 0.9846900462776654 5.486222498793254 0.0004990782574306 -25.32598776509113
2.885878175099875 5.402659533911869 0.1850940252153806 2.432704328611059e-01 0.2445879773221525 2.345321780743812 0.8379228669674137 3.88384463985433 0.0002941486830933 -24.34817720924054
2.974326960651657 5.568244738171118 0.1795898073848759 2.444619730439194e-01 0.2457838748172189 2.404872918452529 0.8379902977433615 5.461952476044477 0.0001271924557255 -12.02565811734791
2.730751513093767 5.112246499106027 0.1956087211707943 2.412500641510794e-01 0.2425601737639658 2.186422281843456 0.8729420619943268 5.802411399965143 0.0006061760734058 -78.0798503996137
2.905321101332135 5.439058687375739 0.183855342896196 2.439208838575338e-01 0.2452408094640287 2.24765322325654 1.343078636759576 7.269195256942319 0.0002568072523272 -53.33965994167256
2.772390005759711 5.190198031846383 0.1926708757284654 2.421511209803457e-01 0.2434645536788696 2.248391627175682 1.029447847028335 5.788844406567875 0.0005198455814358 -53.46335663894825
2.808742480191332 5.258253595598695 0.1901772103264529 2.427580036285444e-01 0.2440736679283105 2.218909242176954 1.082200114216013 6.502741559739324 0.0004460632959232 -64.27660423838809
2.751537329771318 5.15115968176198 0.1941310426738596 2.419569829503886e-01 0.2432697006562992 2.188715567142434 1.015250954072059 5.775571924366796 0.0005628324145257 -76.83295241956179
2.945526090950485 5.514326554295698 0.1813458071722273 2.446299418463035e-01 0.2459524562200267 2.230531257453661 1.013576249507952 5.895185814945987 0.0001807480807217 -59.55128512181033
2.8222839249789 5.283604570235253 0.1892647314360762 2.430662853974564e-01 0.2443830812702656 2.148170979856214 1.010749584706231 5.632805635860868 0.0004189455534138 -94.7764563911792
2.982715200380617 5.583948383798997 0.1790847499416994 2.449568954340313e-01 0.246280601080575 2.369381153718991 1.117018833322355 5.91590418288655 0.0001117363685174 -18.75661603704623
2.917391970516854 5.461656593379001 0.1830946312538707 2.442446521771829e-01 0.2455657607562789 2.285748976119188 0.9808773566349728 6.87844574762857 0.0002338096696101 -40.6096386668893
2.917058753201748 5.461032776365728 0.183115546262202 2.442980072951701e-01 0.2456193106766688 2.282934854438156 0.8396524013850403 4.515723035920996 0.0002344426324722 -41.48421518401063
2.631885198290011 4.927158607416778 0.2029567301719728 2.403700862183959e-01 0.2416769392256638 2.387316596619482 0.8747505611075881 5.03109848890374 0.000819454343188 -16.35069793257803
2.894909754659818 5.419567577825321 0.1845165662462805 2.441232030181988e-01 0.2454438680273924 2.266915594886141 0.9644809947029734 6.068002125736526 0.0002767567823989 -46.68199259747232
2.610083373037804 4.886343351982807 0.2046520123466589 2.401496114441628e-01 0.2414556467796459 2.112629021179628 0.8953327897123018 5.548565096206794 0.0008681517531759 -113.481894406212
2.711295814298706 5.075823433613659 0.1970123691414664 2.420078496554249e-01 0.2433207547511107 1.98126599023235 1.120118544857941 6.558827345739849 0.0006472037862943 -190.7797708236727
